SIGLA,DESCRICAO
DEXE, DEPARTAMENTO DE ESTACOES-EXPANSAO-LINHA 13
DO, DIRETORIA DE OPERACAO E MANUTENCAO
DOPC, DEPTO DE PLANEJAMENTO CONTROLE E GESTAO
GOM, GERENCIA GERAL DE MANUTENCAO
GOR, GERENCIA DE MANUTENCAO DE MATERIAL RODANTE
DORA, DEPTO DE MANUT MAT RODANTE - LAPA
DORB, DEPTO DE MANUT MAT RODANTE - P ALTINO
DORE, DEPTO DE MANUT MAT RODANTE - ENG S PAULO
GOT, GERENCIA DE ENG DE MANUTENCAO
DOTV, DEPTO DE ENG DE MANUTENCAO DE VP E ESTRUTURA CIVIL
DOTM, DEPTO DE ENG DE MANUT DE MATERIAL RODANTE
DOTI, DEPTO DE ENG DE MANUT INST FIXAS
DOTM, DEPTO DE ENGENHARIA DE MANUTENCAO DE MATERIAL RODANTE
GOF, GERENCIA DE MANUTENCAO DE EQUIPAMENTOS FIXOS
DOFA, DEPTO DE MANUTENCAO DE SISTEMAS AUXILIARES
DOFE, DEPTO DE MANUT DE SISTEMAS DE ENERGIA
DOFS, DEPTO DE MANUT DE SISTEMAS ELETRONICOS E RESTABELECIMENTO DE SERVICOS
GOV, GERENCIA DE MANUTENCAO DE VIA PERMANENTE E ESTRUTURA CIVIL
DOVF, DEPTO DE MANUTENCAO DE VIA PERMANENTE - LINHAS 7/8/9
DOVL, DEPTO DE MANUTENCAO DE VIA PERMANENTE - LINHAS 10/11/12/13
DOVC, DEPTO DE MANUTENCAO DE ESTRUTURA CIVIL - LINHAS 7/8/9
DOVD, DEPTO DE MANUTENCAO DE ESTRUTURA CIVIL - LINHAS 10/11/12/13
GOL, GERENCIA DE LOGISTICA
DOLA, DEPARTAMENTO DE ALMOXARIFADOS
DOLM, DEPARTAMENTO DE GESTAO E CADASTRO DE MATERIAIS
GOO, GERENCIA GERAL DE OPERACAO
DOOP, DEPARTAMENTO DE RELACIONAMENTO COM O PASSAGEIRO
GOC, GERENCIA DE CIRCULACAO E CONTROLE OPERACIONAL
DOCP, DEPTO DE CONTROLE OPERACIONAL
DOC1, DEPTO DE CIRCULACAO-LINHAS 7/10
DOC2, DEPTO DE CIRCULACAO-LINHAS 8/9
DOCT, DEPTO DE ESTRATEGIAS OPERACIONAIS
DOC3, DEPTO DE CIRCULACAO-LINHAS 11/12/13
GOS, GERENCIA DE SEGURANCA
DOSE, DEPTO DE EFETIVO E LOGISTICA
DOSV, DEPTO DE SEGURANCA E VIGILANCIA
GOG, GERENCIA DE ENGENHARIA DE OPERACAO
DOGI, DEPTO DE ENGENHARIA DE SISTEMAS E EQUIPAMENTOS
DOGC, DEPTO DE ENGENHARIA DE ESTACOES E COMUNICACAO
DOGB, DEPTO DE ENGENHARIA DE BILHETAGEM E ENERGIA ELETRICA
GOE, GERENCIA DE ESTACOES E SERVICOS
DOE1, DEPTO DE ESTACOES E SERVICOS - LINHAS 7/10
DOE2, DEPTO DE ESTACOES E SERVICOS - LINHAS 8/9
DOE3, DEPTO DE ESTACOES E SERVICOS - LINHAS 11/12/13
