id,SIGLA,DESCRICAO
89,DEAO,DEPARTAMENTO DE MEIO AMBIENTE - OPERACAO
90,GET,GERENCIA DE EMPREENDIMENTOS - SISTEMAS
91,DETA,DEPARTAMENTO DE SINALIZACAO E TELECOMUNICACOES
92,DETE,DEPARTAMENTO DE SISTEMAS DE ENERGIA
93,DETO,DEPARTAMENTO DE PROJETOS DE IMPLANTACAO DE SISTEMAS
94,GEL,GERENCIA DE OBRAS CIVIS-MODERNIZACAO LESTE
95,DEXE,DEPARTAMENTO DE ESTACOES-EXPANSAO-LINHA 13
96,DO,DIRETORIA DE OPERACAO E MANUTENCAO
97,DOPC,DEPTO DE PLANEJAMENTO CONTROLE E GESTAO
98,GOM,GERENCIA GERAL DE MANUTENCAO
99,GOR,GERENCIA DE MANUTENCAO DE MATERIALcler RODANTE
100,DORA,DEPTO DE MANUT MAT RODANTE - LAPA
101,DORB,DEPTO DE MANUT MAT RODANTE - P ALTINO
102,DORE,DEPTO DE MANUT MAT RODANTE - ENG S PAULO
103,GOT,GERENCIA DE ENG DE MANUTENCAO
104,DOTV,DEPTO DE ENG DE MANUTENCAO DE VP E ESTRUTURA CIVIL
105,DOTM,DEPTO DE ENG DE MANUT DE MATERIAL RODANTE
106,DOTI,DEPTO DE ENG DE MANUT INST FIXAS
107,DOTM,DEPTO DE ENGENHARIA DE MANUTENCAO DE MATERIAL RODANTE
108,GOF,GERENCIA DE MANUTENCAO DE EQUIPAMENTOS FIXOS
109,DOFA,DEPTO DE MANUTENCAO DE SISTEMAS AUXILIARES
110,DOFE,DEPTO DE MANUT DE SISTEMAS DE ENERGIA
111,DOFS,DEPTO DE MANUT DE SISTEMAS ELETRONICOS E RESTABELECIMENTO DE SERVICOS
112,GOV,GERENCIA DE MANUTENCAO DE VIA PERMANENTE E ESTRUTURA CIVIL
113,DOVF,DEPTO DE MANUTENCAO DE VIA PERMANENTE - LINHAS 7/8/9
114,DOVL,DEPTO DE MANUTENCAO DE VIA PERMANENTE - LINHAS 10/11/12/13
